AlbumTitle,ReleaseYear,NumberOfSingles,Genre,Style,ReleaseLabel,Country,Type,SongTitle,ProducedBy,PerformedBy
A Rainbow in Curved Air,1969,2,Minimal,Minimal Ambient,Columbia Masterworks,United States of America,Studio Album,A Rainbow in Curved Air,David Behrman,Terry Riley
A Rainbow in Curved Air,1969,2,Minimal,Minimal Ambient,Columbia Masterworks,United States of America,Studio Album,Poppy Nogood and the Phantom Band,David Behrman,Terry Riley
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Sunday Morning,Andy Warhol,The Velvet Underground
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Sunday Morning,Andy Warhol,Nico
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Sunday Morning,The Velvet Underground,The Velvet Underground
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Sunday Morning,The Velvet Underground,Nico
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,I'm Waiting for the Man,Andy Warhol,The Velvet Underground
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,I'm Waiting for the Man,Andy Warhol,Nico
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,I'm Waiting for the Man,The Velvet Underground,The Velvet Underground
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,I'm Waiting for the Man,The Velvet Underground,Nico
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Femme Fatale,Andy Warhol,The Velvet Underground
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Femme Fatale,Andy Warhol,Nico
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Femme Fatale,The Velvet Underground,The Velvet Underground
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Femme Fatale,The Velvet Underground,Nico
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Venus In Furs,Andy Warhol,The Velvet Underground
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Venus In Furs,Andy Warhol,Nico
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Venus In Furs,The Velvet Underground,The Velvet Underground
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Venus In Furs,The Velvet Underground,Nico
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Run Run Run,Andy Warhol,The Velvet Underground
The Velvet Underground & Nico,1967,2,Rock,Experimental Rock,Verve Records,United States of America,Studio Album,Run Run Run,Andy Warhol,Nico
